DATE,NASDAQ100,clean_val,change,change_pct,change_frac
2007-05-31,1928.19,1928.19,10.110000000000127,0.5270895895895963,0.005270895895895963
2007-06-01,1928.26,1928.26,0.06999999999993634,0.003630347631713489,3.630347631713489e-05
2007-06-04,1933.73,1933.73,5.470000000000027,0.28367543795961264,0.0028367543795961266
2007-06-05,1932.35,1932.35,-1.3800000000001091,-0.07136466828358194,-0.0007136466828358194
2007-06-06,1914.85,1914.85,-17.5,-0.9056330374932078,-0.009056330374932078
2007-06-07,1882.17,1882.17,-32.679999999999836,-1.7066610961694044,-0.017066610961694043
2007-06-08,1906.26,1906.26,24.089999999999918,1.2799056408294638,0.012799056408294637
2007-06-11,1901.96,1901.96,-4.2999999999999545,-0.22557258716019613,-0.0022557258716019613
2007-06-12,1890.67,1890.67,-11.289999999999964,-0.5935981829270839,-0.0059359818292708385
2007-06-13,1913.87,1913.87,23.199999999999818,1.2270782315263804,0.012270782315263804
2007-06-14,1924.54,1924.54,10.670000000000073,0.5575091307142112,0.005575091307142111
2007-06-15,1942.41,1942.41,17.87000000000012,0.9285335716586882,0.009285335716586882
2007-06-18,1944.37,1944.37,1.959999999999809,0.10090557606271637,0.0010090557606271637
2007-06-19,1941.75,1941.75,-2.619999999999891,-0.13474801606689524,-0.0013474801606689524
2007-06-20,1922.12,1922.12,-19.63000000000011,-1.010943736320335,-0.01010943736320335
2007-06-21,1941.32,1941.32,19.200000000000045,0.9988970511726659,0.009988970511726659
2007-06-22,1921.94,1921.94,-19.37999999999988,-0.9982898234191108,-0.009982898234191108
2007-06-25,1912.90,1912.9,-9.039999999999964,-0.4703580756943486,-0.004703580756943486
2007-06-26,1908.64,1908.64,-4.259999999999991,-0.2226985205708605,-0.002226985205708605
2007-06-27,1933.06,1933.06,24.419999999999845,1.2794450498784393,0.012794450498784393
2007-06-28,1931.67,1931.67,-1.3899999999998727,-0.07190671784630961,-0.0007190671784630962
2007-06-29,1934.10,1934.1,2.4299999999998363,0.12579788473185566,0.0012579788473185566
2007-07-02,1954.12,1954.12,20.019999999999982,1.03510676800579,0.0103510676800579
2007-07-03,1965.20,1965.2,11.080000000000155,0.5670071438806293,0.005670071438806293
2007-07-04,.,1965.2,0.0,0.0,0.0
2007-07-05,1981.06,1981.06,15.8599999999999,0.8070425401994658,0.008070425401994657
2007-07-06,1988.31,1988.31,7.25,0.36596569513290866,0.0036596569513290865
2007-07-09,1989.20,1989.2,0.8900000000001,0.04476163173751076,0.00044761631737510755
2007-07-10,1971.89,1971.89,-17.309999999999945,-0.8701990750050244,-0.008701990750050244
2007-07-11,1984.08,1984.08,12.189999999999827,0.6181886413542249,0.006181886413542249
2007-07-12,2021.03,2021.03,36.950000000000045,1.8623240998346864,0.018623240998346863
2007-07-13,2032.16,2032.16,11.13000000000011,0.5507092917967625,0.005507092917967625
2007-07-16,2028.02,2028.02,-4.1400000000001,-0.20372411621132686,-0.0020372411621132685
2007-07-17,2041.78,2041.78,13.759999999999991,0.6784942949280575,0.006784942949280575
2007-07-18,2037.98,2037.98,-3.7999999999999545,-0.18611211785794526,-0.0018611211785794527
2007-07-19,2052.99,2052.99,15.009999999999764,0.7365136066104556,0.007365136066104556
2007-07-20,2035.88,2035.88,-17.109999999999673,-0.8334185748590921,-0.008334185748590921
2007-07-23,2036.33,2036.33,0.4499999999998181,0.022103463858371714,0.00022103463858371715
2007-07-24,2000.55,2000.55,-35.77999999999997,-1.757082594667857,-0.01757082594667857
2007-07-25,2011.14,2011.14,10.590000000000146,0.5293544275324359,0.005293544275324359
2007-07-26,1986.60,1986.6,-24.54000000000019,-1.2202034666905432,-0.012202034666905432
2007-07-27,1956.19,1956.19,-30.409999999999854,-1.5307560656397794,-0.015307560656397793
2007-07-30,1973.93,1973.93,17.74000000000001,0.9068648750888211,0.009068648750888211
2007-07-31,1932.06,1932.06,-41.87000000000012,-2.121149179555512,-0.02121149179555512
2007-08-01,1945.08,1945.08,13.019999999999982,0.6738921151517024,0.006738921151517025
2007-08-02,1966.60,1966.6,21.519999999999982,1.1063812285355863,0.011063812285355863
2007-08-03,1918.56,1918.56,-48.039999999999964,-2.442794671005795,-0.02442794671005795
2007-08-06,1954.37,1954.37,35.809999999999945,1.866504044700189,0.01866504044700189
2007-08-07,1961.64,1961.64,7.270000000000209,0.3719868806827883,0.003719868806827883
2007-08-08,1987.34,1987.34,25.699999999999818,1.3101282600273148,0.013101282600273148
2007-08-09,1936.76,1936.76,-50.57999999999993,-2.5451105497801043,-0.02545110549780104
2007-08-10,1925.14,1925.14,-11.61999999999989,-0.5999710857308025,-0.005999710857308025
2007-08-13,1934.41,1934.41,9.269999999999982,0.4815234216732279,0.0048152342167322795
2007-08-14,1901.32,1901.32,-33.090000000000146,-1.7105990973992145,-0.017105990973992145
2007-08-15,1864.92,1864.92,-36.399999999999864,-1.9144594281867262,-0.019144594281867263
2007-08-16,1846.09,1846.09,-18.830000000000155,-1.0096947858353256,-0.010096947858353255
2007-08-17,1888.78,1888.78,42.690000000000055,2.3124549724011323,0.023124549724011324
2007-08-20,1893.05,1893.05,4.269999999999982,0.2260718559069866,0.002260718559069866
2007-08-21,1910.99,1910.99,17.940000000000055,0.9476770291328837,0.009476770291328837
2007-08-22,1936.77,1936.77,25.779999999999973,1.349038979795811,0.013490389797958111
2007-08-23,1931.88,1931.88,-4.889999999999873,-0.2524822255611081,-0.0025248222556110813
2007-08-24,1961.38,1961.38,29.5,1.527009959210717,0.01527009959210717
2007-08-27,1947.49,1947.49,-13.8900000000001,-0.7081748564786068,-0.007081748564786067
2007-08-28,1899.24,1899.24,-48.25,-2.477548023353137,-0.024775480233531367
2007-08-29,1954.85,1954.85,55.6099999999999,2.9280133105873873,0.029280133105873872
2007-08-30,1963.75,1963.75,8.900000000000091,0.4552778985599965,0.004552778985599965
2007-08-31,1988.73,1988.73,24.980000000000018,1.2720560152768945,0.012720560152768946
2007-09-03,.,1988.73,0.0,0.0,0.0
2007-09-04,2020.51,2020.51,31.779999999999973,1.5980047568045923,0.015980047568045923
2007-09-05,1994.38,1994.38,-26.12999999999988,-1.2932378458903881,-0.012932378458903881
2007-09-06,1998.67,1998.67,4.289999999999964,0.21510444348619437,0.0021510444348619437
2007-09-07,1958.35,1958.35,-40.320000000000164,-2.0173415321188672,-0.020173415321188673
2007-09-10,1960.20,1960.2,1.8500000000001364,0.09446728112952926,0.0009446728112952926
2007-09-11,1988.98,1988.98,28.779999999999973,1.468217528823588,0.014682175288235878
2007-09-12,1988.96,1988.96,-0.01999999999998181,-0.001005540528310079,-1.0055405283100789e-05
2007-09-13,1998.63,1998.63,9.670000000000073,0.4861837342128586,0.004861837342128586
2007-09-14,2000.82,2000.82,2.189999999999827,0.10957505891534837,0.0010957505891534837
2007-09-17,1983.08,1983.08,-17.74000000000001,-0.8866364790435927,-0.008866364790435927
2007-09-18,2035.37,2035.37,52.289999999999964,2.63680739052383,0.0263680739052383
2007-09-19,2041.36,2041.36,5.990000000000009,0.29429538609687717,0.002942953860968772
2007-09-20,2032.61,2032.61,-8.75,-0.4286358114198378,-0.004286358114198378
2007-09-21,2049.48,2049.48,16.87000000000012,0.829967381839119,0.00829967381839119
2007-09-24,2057.25,2057.25,7.769999999999982,0.37912055740968353,0.0037912055740968354
2007-09-25,2076.83,2076.83,19.579999999999927,0.9517559849313368,0.009517559849313368
2007-09-26,2088.38,2088.38,11.550000000000182,0.5561360342445064,0.005561360342445064
2007-09-27,2096.39,2096.39,8.009999999999764,0.3835508863329357,0.0038355088633293573
2007-09-28,2091.11,2091.11,-5.279999999999745,-0.2518615333978766,-0.0025186153339787657
2007-10-01,2116.97,2116.97,25.859999999999673,1.2366637814366375,0.012366637814366374
2007-10-02,2115.89,2115.89,-1.0799999999999272,-0.051016311048334526,-0.0005101631104833452
2007-10-03,2103.01,2103.01,-12.879999999999654,-0.6087272967876238,-0.006087272967876239
2007-10-04,2105.56,2105.56,2.549999999999727,0.12125477292070541,0.0012125477292070541
2007-10-05,2149.67,2149.67,44.11000000000013,2.0949296149243017,0.020949296149243016
2007-10-08,2163.26,2163.26,13.590000000000146,0.632190057078535,0.0063219005707853505
2007-10-09,2171.21,2171.21,7.949999999999818,0.3675009014172969,0.003675009014172969
2007-10-10,2176.98,2176.98,5.769999999999982,0.26575043408974636,0.0026575043408974637
2007-10-11,2140.92,2140.92,-36.059999999999945,-1.6564231182647497,-0.016564231182647497
2007-10-12,2177.99,2177.99,37.06999999999971,1.7314986080750197,0.017314986080750196
2007-10-15,2158.92,2158.92,-19.06999999999971,-0.875577941129193,-0.00875577941129193
2007-10-16,2151.14,2151.14,-7.7800000000002,-0.360365367869129,-0.00360365367869129
2007-10-17,2179.14,2179.14,28.0,1.3016354119211209,0.01301635411921121
2007-10-18,2187.52,2187.52,8.38000000000011,0.38455537505621984,0.0038455537505621986
2007-10-19,2131.08,2131.08,-56.440000000000055,-2.5800906963136363,-0.025800906963136364
2007-10-22,2157.45,2157.45,26.36999999999989,1.2374007545469852,0.012374007545469851
2007-10-23,2205.18,2205.18,47.73000000000002,2.21233400542307,0.022123340054230698
2007-10-24,2188.59,2188.59,-16.58999999999969,-0.7523195385410575,-0.007523195385410575
2007-10-25,2161.52,2161.52,-27.070000000000164,-1.2368693999332978,-0.012368693999332978
2007-10-26,2194.59,2194.59,33.070000000000164,1.529941892742152,0.01529941892742152
2007-10-29,2203.42,2203.42,8.829999999999927,0.4023530591135441,0.004023530591135441
2007-10-30,2207.61,2207.61,4.190000000000055,0.19015893474689594,0.0019015893474689594
2007-10-31,2238.98,2238.98,31.36999999999989,1.420993744366074,0.01420993744366074
2007-11-01,2197.07,2197.07,-41.909999999999854,-1.871834496065166,-0.01871834496065166
2007-11-02,2213.86,2213.86,16.789999999999964,0.7641995930944376,0.007641995930944377
2007-11-05,2200.48,2200.48,-13.38000000000011,-0.6043742603416706,-0.006043742603416707
2007-11-06,2223.97,2223.97,23.48999999999978,1.0674943648658375,0.010674943648658375
2007-11-07,2169.43,2169.43,-54.539999999999964,-2.4523712100432995,-0.024523712100432995
2007-11-08,2106.16,2106.16,-63.26999999999998,-2.9164342707531468,-0.029164342707531467
2007-11-09,2034.30,2034.3,-71.8599999999999,-3.4118965320773307,-0.034118965320773305
2007-11-12,1982.16,1982.16,-52.13999999999987,-2.563043798849721,-0.02563043798849721
2007-11-13,2066.08,2066.08,83.91999999999985,4.233765185454244,0.04233765185454244
2007-11-14,2038.05,2038.05,-28.029999999999973,-1.35667544335166,-0.0135667544335166
2007-11-15,2024.03,2024.03,-14.019999999999982,-0.6879124653467767,-0.006879124653467767
2007-11-16,2048.62,2048.62,24.589999999999918,1.2149029411619352,0.012149029411619352
2007-11-19,2021.14,2021.14,-27.47999999999979,-1.3413907898975794,-0.013413907898975794
2007-11-20,2029.94,2029.94,8.799999999999955,0.435397844780666,0.00435397844780666
2007-11-21,2006.38,2006.38,-23.559999999999945,-1.1606254372050377,-0.011606254372050378
2007-11-22,.,2006.38,0.0,0.0,0.0
2007-11-23,2028.90,2028.9,22.519999999999982,1.1224194818528883,0.011224194818528883
2007-11-26,1989.36,1989.36,-39.54000000000019,-1.9488392725122081,-0.01948839272512208
2007-11-27,2033.76,2033.76,44.40000000000009,2.2318735673784578,0.022318735673784576
2007-11-28,.,2033.76,0.0,0.0,0.0
2007-11-29,2102.42,2102.42,68.66000000000008,3.3760129022106877,0.03376012902210688
2007-11-30,2089.10,2089.1,-13.320000000000164,-0.6335556168605779,-0.0063355561686057795
2007-12-03,2067.45,2067.45,-21.65000000000009,-1.0363314345890617,-0.010363314345890617
